epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.7352,0.48885,0.92097,1,0.43204,0.000235133,0.000235133,0.000235133
2,25.9347,0.26115,0.91489,1,0.39515,0.000463765,0.000463765,0.000463765
3,34.962,0.27432,0.89362,1,0.43499,0.000682972,0.000682972,0.000682972
4,43.8675,0.24126,0.91185,1,0.40745,0.000671588,0.000671588,0.000671588
5,52.5232,0.21928,0.93921,1,0.37516,0.000657451,0.000657451,0.000657451
6,61.263,0.1899,0.93617,1,0.38113,0.000643314,0.000643314,0.000643314
7,69.9274,0.19121,0.92705,1,0.38426,0.000629177,0.000629177,0.000629177
8,78.6388,0.15152,0.91489,1,0.38259,0.00061504,0.00061504,0.00061504
9,87.6585,0.14631,0.94225,1,0.37875,0.000600902,0.000600902,0.000600902
10,96.779,0.11734,0.94833,1,0.36262,0.000586765,0.000586765,0.000586765
11,105.447,0.1059,0.94225,1,0.37029,0.000572628,0.000572628,0.000572628
12,114.214,0.10489,0.94529,1,0.36759,0.000558491,0.000558491,0.000558491
13,122.935,0.09362,0.94225,1,0.37191,0.000544354,0.000544354,0.000544354
14,131.602,0.09483,0.95137,1,0.36819,0.000530216,0.000530216,0.000530216
15,140.355,0.0764,0.93313,1,0.38268,0.000516079,0.000516079,0.000516079
16,149.072,0.08816,0.95441,1,0.36131,0.000501942,0.000501942,0.000501942
17,157.634,0.09773,0.94833,1,0.36417,0.000487805,0.000487805,0.000487805
18,166.244,0.07858,0.96049,1,0.36162,0.000473668,0.000473668,0.000473668
19,174.894,0.05979,0.95441,1,0.36315,0.00045953,0.00045953,0.00045953
20,183.729,0.0953,0.95441,1,0.35811,0.000445393,0.000445393,0.000445393
21,192.412,0.0814,0.9696,1,0.35221,0.000431256,0.000431256,0.000431256
22,201.046,0.05979,0.95745,1,0.35707,0.000417119,0.000417119,0.000417119
23,209.78,0.0643,0.96049,1,0.35782,0.000402982,0.000402982,0.000402982
24,218.595,0.05504,0.95137,1,0.35589,0.000388844,0.000388844,0.000388844
25,227.688,0.05568,0.93921,1,0.38159,0.000374707,0.000374707,0.000374707
26,236.363,0.04029,0.95441,1,0.36515,0.00036057,0.00036057,0.00036057
27,245.277,0.05279,0.95441,1,0.35278,0.000346433,0.000346433,0.000346433
28,254.012,0.04948,0.95137,1,0.36388,0.000332296,0.000332296,0.000332296
29,262.639,0.05087,0.95441,1,0.35744,0.000318158,0.000318158,0.000318158
30,271.469,0.04854,0.95745,1,0.34965,0.000304021,0.000304021,0.000304021
31,280.211,0.03448,0.95745,1,0.35418,0.000289884,0.000289884,0.000289884
32,288.885,0.03768,0.95745,1,0.35252,0.000275747,0.000275747,0.000275747
33,297.535,0.03343,0.96049,1,0.35629,0.00026161,0.00026161,0.00026161
34,306.185,0.04817,0.95441,1,0.35651,0.000247472,0.000247472,0.000247472
35,315.335,0.04118,0.94529,1,0.3695,0.000233335,0.000233335,0.000233335
36,324.513,0.04035,0.97264,1,0.34415,0.000219198,0.000219198,0.000219198
37,333.25,0.02477,0.96049,1,0.35434,0.000205061,0.000205061,0.000205061
38,341.93,0.03641,0.96353,1,0.35764,0.000190924,0.000190924,0.000190924
39,350.576,0.02824,0.96657,1,0.34988,0.000176786,0.000176786,0.000176786
40,359.254,0.02704,0.96353,1,0.34994,0.000162649,0.000162649,0.000162649
41,369.415,0.0256,0.96353,1,0.35289,0.000148512,0.000148512,0.000148512
42,378.221,0.02388,0.96353,1,0.3532,0.000134375,0.000134375,0.000134375
43,387.132,0.01975,0.9696,1,0.34621,0.000120238,0.000120238,0.000120238
44,395.975,0.02391,0.96353,1,0.34988,0.0001061,0.0001061,0.0001061
45,404.563,0.02807,0.96657,1,0.34626,9.19632e-05,9.19632e-05,9.19632e-05
46,413.22,0.01832,0.96657,1,0.34415,7.7826e-05,7.7826e-05,7.7826e-05
47,421.982,0.01822,0.96049,1,0.34901,6.36888e-05,6.36888e-05,6.36888e-05
48,430.673,0.01892,0.96657,1,0.35727,4.95516e-05,4.95516e-05,4.95516e-05
49,439.459,0.02509,0.96353,1,0.34794,3.54144e-05,3.54144e-05,3.54144e-05
50,448.204,0.02207,0.96657,1,0.34837,2.12772e-05,2.12772e-05,2.12772e-05
